,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/5/2022,,12/13/2022,,12/19/2022,,12/26/2022,
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,31,5,0,0,37,1
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,23,0,10,1,28,4
Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,30,4,16,1,41,3
Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,20,1,5,0,55,3
Saturday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5,50,6,1,0,41,2
Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,16,4,0,0,0,0
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,17,170,20,32,2,202,13
,,1/2/2023,,1/9/2023,,1/16/2023,,1/23/2023,,1/30/2023,,2/6/2023,,2/13/2023,,2/20/2023,,2/27/2023,,3/6//2023,,3/13/2023,,3/20/2023,,3/27/2023,,4/3/2023,,4/10/2023,,4/17/2023,,4/24/2023,,5/1/2023,,5/8/2023,,5/15/2023,,5/22/2023,,5/29/2023,,6/5/2023,,6/12/2023,,6/19/2023,,6/26/2023,,7/3/2023,,7/10/2023,,7/17/2023,,7/24/2023,,7/31/2023,,8/7/2023,,8/14/2023,,8/21/2023,,8/28/2023,,9/4/2023,,9/11/2023,,9/18/2023,,9/25/2023,,10/2/2023,,10/9/2023,,10/16/2023,,10/23/2023,,10/30/2023,,11/6/2023,,11/13/2023,,11/20/2023,,11/27/2023,,12/4/2023,,12/11/2023,,12/18/2023,,12/25/2023,
Monday,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,23,3,109,1,49,2,77,5,66,3,66,7,110,13,44,6,63,7,19,8,78,6,59,4,92,7,75,3,71,10,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
