ID,Name,Price,Price/unit,Price/unit change,Last Price Update,Supplier,Order Code,Brand,Country of Origin,Category,Lead Time,Case,Pack,Unit,Purchase Amount,Converters,Display Name,Usable Percentage,Allergens,Label Certifications,Is Added Sugar,Notes
591304,4-1 strawberries,1.0,$1.00/g,"","",US Foods Chefstore,,"","",Food,,1.0,1.0,g,1/1g,"","",100,"","",true,""
509409,All spice,20.47,$1.28/oz,967.69%,2024-04-03,US Foods Chefstore,,McCormick,"",Food,,1.0,16.0,oz,1/16oz,4.92 tbsp = 1 oz,"",100,"","",,""
507952,Almond Extract,4.99,$2.50/floz,149.5%,2024-04-03,QFC,,"","",Uncategorized,,1.0,2.0,floz,1/2floz,"","",100,Tree nuts,"",false,""
508242,Amarena Cherries,96.32,$52.06/Kg,"","",Webstaurant,3639135050,Fabbri,"",Food,,1.0,1.85,Kg,1/1.85Kg,"","",100,"","",true,""
531505,"Andes mints, pieces",31.49,$6.30/lb,529.8%,2024-10-09,Webstaurant,999ANDESMINT,"","",Uncategorized,,1.0,5.0,lb,1/5lb,"","Andes mints: Sugar, Palm Kernel And Palm Oil, Cocoa (Processed With Alkali), Nonfat Milk, Lactose, Milk Protein Concentrate, Soy Lecithin (An Emulsifier), Natural And Artificial Flavors, Peppermint Oil, Colors Added (Yellow 5 Lake, Blue 1 Lake). Contains Milk and Soy.",100,"Milk, Soy",Gluten-Free,true,""
509741,Anise Extract,1.0,$0.06/oz,"","",Green Mountain Flavors,,GMF,"",Food,,1.0,16.0,oz,1/16oz,"","",100,"","",,""
509743,Annatto Extract,1.0,$0.06/oz,"","",Green Mountain Flavors,,GMF,"",Food,,1.0,16.0,oz,1/16oz,"","",100,"","",,""
527496,Apple cider,4.59,$0.05/floz,-94.84%,2024-10-14,US Foods Chefstore,,Washington Natural,"",Uncategorized,,1.0,89.0,floz,1/89floz,"","",100,"","",false,""
528843,Apple Cider Vinegar,1.0,$1.00/gal,"","",US Foods Chefstore,,"","",Food,,1.0,1.0,gal,1/1gal,"","",100,"","",false,""
587241,Apple Puree,1.0,$0.00/Kg,"",2025-12-05,Chef's Warehouse,,"","",Food,,1.0,1000.0,Kg,1/1000Kg,"","",100,"","",true,""
593309,applesauce,1.0,$1.00/g,"","",Amazon,,tree top,"",Food,,1.0,1.0,g,1/1g,"","Tree top applesauce (apples, water, vitamin c)",100,"","",false,""
509740,Apricot Jam,27.61,$5.02/lb,"","",Chef's Warehouse,380471N,Oregon Growers,"",Food,,1.0,5.5,lb,1/5.5lb,"","",100,"","",,""
539311,Avocado,1.0,$1.00/lb,"","",US Foods Chefstore,,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
507947,Baking powder,1.0,$0.02/oz,-99.13%,2024-04-03,US Foods Chefstore,,Red Star,"",Food,,1.0,60.0,oz,1/60oz,6.9 oz = 1 cup,"",100,"","",false,""
507941,Baking soda,4.59,$1.15/lb,359%,2024-04-04,US Foods Chefstore,,Arm & Hammer,"",Food,,1.0,4.0,lb,1/4lb,8.4 oz = 1 cup,"",100,"","",false,""
507939,Baking Vanilla,49.99,$1.56/floz,56.22%,2024-03-27,Amazon,,Native Vanilla,"",Food,,1.0,32.0,floz,1/32floz,1 tsp = 4.2 g,"",100,"","",,""
536648,Balsamic Vinegar,1.0,$1.00/floz,"","",Webstaurant,,boyajian,"",Food,,1.0,1.0,floz,1/1floz,"","grapes, wine vinegar, fig juice, naturally accruing sulfites",100,"","",,""
534915,Banana Flavor,16.0,$16.00/qt,"","",Green Mountain Flavors,52202Q,GMF,"",Uncategorized,,1.0,1.0,qt,1/1qt,1 gal = 8.77 lb,"",100,"","",false,""
506910,Bananas,9.95,$1.99/lb,99%,2024-04-03,US Foods Chefstore,,"","",Food,,1.0,5.0,lb,1/5lb,"","",100,"","",,""
587212,Basil,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","Gluten-Free, Vegan",false,""
506945,Beet Powder,19.99,$4.00/oz,-30.49%,2024-03-27,Amazon,,Suncore Foods,"",Food,,1.0,5.0,oz,1/5oz,1 oz = 1 tbsp,"",100,"","",false,""
593308,Bergamot GMF,1.0,$1.00/oz,"","",Green Mountain Flavors,,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
509695,Bettercreme,26.89,$6.72/Kg,"","",US Foods Chefstore,,Rich's,"",Food,,1.0,4.0,Kg,1/4Kg,"","Bettercreme (HIGH FRUCTOSE CORN SYRUP, WATER, HYDROGENATED VEGETABLE OIL (PALM, PALM KERNEL, COCONUT AND/OR COTTONSEED), CORN SYRUP, CONTAINS LESS THAN 2% OF THE FOLLOWING: SODIUM CASEINATE (A MILK DERIVATIVE), SOY PROTEIN CONCENTRATE, POLYSORBATE 60, CARBOHYDRATE GUM, SUGAR, SALT, ARTIFICIAL FLAVOR, POLYGLYCEROL ESTERS OF FATTY ACIDS, TO PRESERVE FRESHNESS (POTASSIUM SORBATE), XANTHAN GUM.)",100,"Milk, Soy, Tree nuts, Coconut*, Corn","",true,""
527488,Biscoff cookie butter,43.43,$0.39/oz,-61.5%,2024-10-14,Amazon,,Biscoff,"",Uncategorized,,8.0,14.1,oz,8/14.1oz,"","Biscoff cookie butter (Wheat flour, Sugar, Vegetable oils [contains one or more of soybean oil, sunflower oil, canola oil, palm oil], Brown sugar syrup, Sodium bicarbonate [leavening], Soy flour, Salt, Cinnamon], Canola oil, Sugar, Soy lecithin, Citric acid.)",100,"Gluten, Wheat, Soy",Vegan,true,""
553131,Biscoff Cookies,1.0,$1.00/g,"","","",,lotus,"",Uncategorized,,1.0,1.0,g,1/1g,"","Biscoff Cookies: Wheat flour, Sugar, Vegetable oils (contains one or more of soybean oil, sunflower oil, canola oil, palm oil), Brown sugar syrup, Sodium bicarbonate (leavening), Soy flour, Salt, Cinnamon.",100,"Gluten, Soy",Vegan,true,""
594064,Black Beans,1.0,$1.00/g,"","",US Foods Chefstore,,"","",Food,,1.0,1.0,g,1/1g,"","",100,"","",false,""
506936,Black Currant Puree,179.98,$30.00/Kg,1699.8%,2024-03-27,Chef's Warehouse,,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",false,""
563994,"Blackberries, Frozen",19.59,$3.92/lb,"","",US Foods Chefstore,,Flav R Pac,"",Food,,1.0,5.0,lb,1/5lb,"","",100,"","",false,""
590835,blackberry Barbeque sauce,1.0,$0.07/oz,-99.76%,2026-02-20,"",,woodinville sauce co.,"",Food,,1.0,15.0,oz,1/15oz,"","blackberries, turbinado sugar, tomato puree, brown sugar, honey, red wine vinegar, tomato paste, organic molasses, kosher salt, Worcestershire sauce (fish), 
natural hickory smoke flavor, onion powder, mustard powder, black pepper",100,Fish,"",true,""
510528,Blackberry flavor,1.0,$1.00/oz,"","","",,"","",Uncategorized,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
593313,Blackberry Jam,1.0,$1.00/g,"","",US Foods Chefstore,,danish orchards,"",Food,,1.0,1.0,g,1/1g,"","sugar, Blackberries, water, Fruit pectin, citric acid, potassium sorbrate",100,"","",true,""
510527,Blackberry puree,133.34,$22.22/Kg,-37%,2024-10-09,Chef's Warehouse,4404BO0701N,Boiron,"",Uncategorized,,6.0,1.0,Kg,6/1Kg,"","",100,"","",false,""
574610,Blackpepper,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,"","",false,""
506905,Blood Orange Puree,131.84,$21.97/Kg,1218.4%,2024-03-20,Chef's Warehouse,4404BO0540,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",,""
482249,Blood Peach Puree,116.67,$19.45/Kg,94.45%,2024-03-20,Chef's Warehouse,4404BO0726N,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",,""
519848,Blue Moon Flavor,16.25,$16.25/pt,-2.64%,2024-10-14,Green Mountain Flavors,52140P,GMF,"",Food,,1.0,1.0,pt,1/1pt,1 gal = 8.17 lb,"",100,"","",false,""
509693,"Blueberries, Frozen",14.19,$2.84/lb,122.07%,2025-05-29,US Foods Chefstore,,Flav R Pac,"",Food,,1.0,5.0,lb,1/5lb,"","",100,"","",,""
590760,Blueberry Puree,1.0,$1.00/g,"","",Chef's Warehouse,,biron,"",Food,,1.0,1.0,g,1/1g,"","",100,"","",true,""
531506,Bourbon Whiskey Flavor (GMF),1.0,$1.00/floz,"","",Green Mountain Flavors,,"","",Uncategorized,,1.0,1.0,floz,1/1floz,"","",100,"","",false,""
530440,Boysenberry,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
507936,Butter,112.89,$3.76/lb,-99.17%,2024-04-03,US Foods Chefstore,,Darigold Unsalted,"",Food,,30.0,1.0,lb,30/1lb,2 cup = 1 lb,"",100,Milk,"",,""
534916,Butter Pecan Flavor,12.0,$12.00/pt,"","",Green Mountain Flavors,52296P,GMF,"",Uncategorized,,1.0,1.0,pt,1/1pt,1 gal = 8.29 lb,"",100,Milk,"",,""
587222,Butterfinger Pieces,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","Butterfinger Pieces: Corn Syrup, Sugar, Ground Roasted Peanuts, palm oil, Soy Lecithin, Non fat milk, peanut flour, less than 2% cocoa, Salt, natural flavor, annatto coloring",100,"Milk, Peanuts, Soy, Corn","",true,""
509119,Buttermilk,3.19,$6.38/gal,-60.12%,2024-04-03,US Foods Chefstore,,Glenview Farms,"",Uncategorized,,1.0,0.5,gal,1/0.5gal,8.6 oz = 1 cup,"",100,Milk,"",,""
590685,Buttermilk Powder,1.0,$0.00/g,-99.71%,2026-02-20,Amazon,,the saco pantry,"",Food,,1.0,340.2,g,1/340.2g,"","buttermilk powder- sweet cream churned buttermilk, sweet dairy whey, lactic acid",100,Milk,"",,""
509406,Butterscotch chips,51.49,$0.39/oz,524.12%,2024-04-04,US Foods Chefstore,,Nestle,"",Food,,12.0,11.0,oz,12/11oz,"","SUGAR, PALM KERNEL OIL, MILK, NONFAT MILK, 2% OR LESS OF HYDROGENATED PALM OIL, SOY LECITHIN, BUTTER, CARAMEL COLOR, NATURAL FLAVOR, ARTIFICIAL FLAVOR, SUNFLOWER LECITHIN, PAPRIKA OLEORESIN (FOR COLOR), ACETIC ACID.",100,"Milk, Artificial dye, Soy","",false,""
587218,Butterscotch Flavor (GMF),1.0,$1.00/floz,"","",Green Mountain Flavors,,"","",Uncategorized,,1.0,1.0,floz,1/1floz,"","",100,"","Gluten-Free, Vegan",false,""
510291,Cabernet,1.0,$1.00/each,"","","",,"","",Uncategorized,,1.0,1.0,each,1/1each,"","",100,"","",,""
586891,Candied Black Cherries,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",true,""
576259,Candied Orange Pieces,1.0,$0.33/lb,"","","",,"","",Food,,1.0,3.0,lb,1/3lb,"","",100,"","",true,""
574609,Candy cane pieces,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,"","",true,""
507441,Canola oil,15.59,$15.59/gal,1459%,2024-04-03,US Foods Chefstore,,Chefs pride,"",Food,,1.0,1.0,gal,1/1gal,"","",100,"","",,""
587236,Cantaloupe,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","Gluten-Free, Vegan",true,""
587237,Cantaloupe Flavor (GMF),1.0,$1.00/floz,"","",Green Mountain Flavors,,"","",Uncategorized,,1.0,1.0,floz,1/1floz,"","",100,"","",,""
587243,Caramel Sauce (Torani),1.0,$1.00/Kg,"",2025-11-30,US Foods Chefstore,,torani,"",Uncategorized,,1.0,1.0,Kg,1/1Kg,"","Torani Caramel Sauce: Corn Syrup, Sugar, Invert Sugar, Heavy Cream, Water, Butter (Cream, Salt), Nonfat Milk, Less Than 1% Of Lecithin, Salt, Caramel Color, Sodium Bicarbonate, Natural Flavors. Contains Milk.",100,"Milk, Soy, Artificial dye, Corn","",true,"milk,soy, corn"
506708,Cardamom (powdered),44.92,$44.92/lb,46.44%,2024-04-03,Chef's Warehouse,,Provvista,"",Food,,1.0,1.0,lb,1/1lb,4.88 tbsp = 1 oz,"",100,"","",,""
510535,"Carrots, chopped and peeled",1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",,""
507269,Cashew,29.19,$5.84/lb,-98.71%,2024-04-04,US Foods Chefstore,,Azar,"",Food,,1.0,5.0,lb,1/5lb,"","",100,Tree nuts,"",,""
528769,Chai Tea (bagged),4.79,$0.16/each,-84.03%,2024-10-14,US Foods Chefstore,,Stash,"",Uncategorized,,1.0,30.0,each,1/30each,"","",100,"","",,""
508255,Chamoy,9.99,$0.30/floz,"","",Amazon,,El Chilerito,"",Food,,1.0,33.8,floz,1/33.8floz,"","",100,"","",false,""
591301,chamoy sauce,1.0,$1.00/g,"","",Amazon,,chamoy mega,"",Food,,1.0,1.0,g,1/1g,"","water, iodized salt, high fructose corn syrup, citric acid, xanthan gum, red peppers, modified corn starch, sodium citrate, acetic acid, sodium benzoate, fd&c red 40, fc&d yellow 6, fc&d blue 1",100,"Artificial dye, Corn","",,""
510294,"Cherries, for wine",1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",,""
539396,cherry flavor gmf,1.0,$1.00/oz,"",2025-09-28,Green Mountain Flavors,,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
509736,Cherry Puree,98.02,$16.34/Kg,"","",Chef's Warehouse,4404BO0642,oiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",,""
528772,chickpeas (aquafaba),2.69,$0.00/g,-96.52%,2024-11-05,US Foods Chefstore,,Garbanzo Beans,"",Food,,1.0,850.0,g,1/850g,9 g = 1 tbsp,"",44,"","",,""
519088,Chipotle Chile,1.0,$0.10/g,"","","",,"","",Food,,1.0,10.0,g,1/10g,"","",100,"","",,""
508248,Chocolate Chips (large),169.99,$4.86/lb,"","",Webstaurant,40842322,Ghiradelli,"",Food,,1.0,35.0,lb,1/35lb,"","Chocolate chips-large (Sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract)",100,"Milk, Soy","",,""
519086,Chocolate Flavor,46.5,$93.00/gal,2356.8%,2024-10-14,Green Mountain Flavors,53554H,GMF,"",Food,,1.0,0.5,gal,1/0.5gal,1 gal = 8.75 lb,"",100,"","",false,""
507434,Chocolate sprinkles,17.09,$2.85/lb,1609%,2024-04-04,US Foods Chefstore,,graffiti sprinkles,"",Food,,1.0,6.0,lb,1/6lb,"","Chocolate sprinkles: sugar, corn starch, vegetable oil, cocoa, soy lecithin, dextrin, confectioners glaze, natural and artificial flavor, carnauba wax",100,"Soy, Corn","",true,""
506709,Cinnamon (powdered),13.59,$0.03/g,-60.6%,2024-10-14,US Foods Chefstore,,McCormick,"",Food,,1.0,510.0,g,1/510g,0.25 oz = 1 tbsp,"",100,"","",,""
506911,Cinnamon Flavor,1.0,$1.00/tsp,"","","",,"","",Food,,1.0,1.0,tsp,1/1tsp,"","",100,"","",,""
510292,Cinnamon sticks,4.99,$1.00/oz,-0.2%,2024-10-14,US Foods Chefstore,,Monarch,"",Uncategorized,,1.0,5.0,oz,1/5oz,"","",100,"","",,""
482250,Citric Acid Powder,7.19,$4.79/lb,-84.37%,2024-03-27,Webstaurant,10200001,Regal,"",Food,,1.0,1.5,lb,1/1.5lb,3.8 g = 1 tsp,"",100,"","",,""
509408,Cloves,1.0,$1.00/tbsp,"","","",,"","",Uncategorized,,1.0,1.0,tbsp,1/1tbsp,"","",100,"","",,""
509365,Cocoa Nibs,28.57,$28.57/Kg,-57.75%,2024-04-03,Chef's Warehouse,,Republica del Cocoa,"",Food,,1.0,1.0,Kg,1/1Kg,4.4 oz = 1 cup,"",100,"","",,""
506707,Cocoa Powder,143.48,$5.74/lb,-81.29%,2024-03-20,Webstaurant,40869096,Ghiradelli,"",Food,,1.0,25.0,lb,1/25lb,3.35 oz = 1 cup,"Cocoa Powder ('SUGAR, COCOA- PROCESSED WITH ALKALI, UNSWEETENED CHOCOLATE, SOY LECITHIN- AN EMULSIFIER, VANILLA.')",100,Soy,"",,""
528771,coconut milk,42.43,$0.11/oz,268.85%,2024-10-09,Chef's Warehouse,10441504,Pacific,"",Uncategorized,,12.0,32.0,oz,12/32oz,65 g = 4 tbsp,"Coconut Milk (Water, Coconut Cream*, Contains 1% Or Less Of: Coconut Water Concentrate*, Gellan Gum, Guar Gum*, Natural Flavor, Sodium Citrate, Tricalcium Phosphate, Vitamin D2, Xanthan Gum. )",100,"Tree nuts, Coconut*","",false,""
528835,Coconut Oil,1.0,$1.00/floz,"","","",,"","",Uncategorized,,1.0,1.0,floz,1/1floz,"","",100,Tree nuts,"",,""
574600,Cola GMF,1.0,$1.00/oz,"","",Green Mountain Flavors,,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
527484,Cold Brew Concentrate,1.0,$1.00/oz,"","","",,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
599650,condensed cream-oat milk,1.0,$1.00/g,"","","",,"","",Food,,1.0,1.0,g,1/1g,"","condensed oat cream (Water, Oats 20%, Cane Sugar, Virgin Coconut Oil, Guar Gum, Calcium Carbonate, Sea Salt)",100,Coconut*,"",,""
526263,Condensed Milk,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,Milk,"",,""
510298,Coriander,1.0,$1.00/tbsp,"","","",,"","",Uncategorized,,1.0,1.0,tbsp,1/1tbsp,"","",100,"","",,""
529223,Corn Flakes,1.0,$1.00/oz,"","","",,"","",Uncategorized,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
599652,corn meal,1.0,$1.00/g,"","","",,"","",Food,,1.0,1.0,g,1/1g,"","",100,Corn,"",,""
507944,Cornstarch,2.49,$0.16/oz,-91.88%,2024-04-03,US Foods Chefstore,,Argo,"",Food,,1.0,16.0,oz,1/16oz,4.7 oz = 1 cup,"",100,"","",,""
506942,Cotton Candy Flavor,1.0,$0.01/g,"",2025-09-28,Green Mountain Flavors,,"","",Food,,1.0,100.0,g,1/100g,"","",100,"","",false,""
509844,Cranberries,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",,""
586897,Cranberry Puree,1.0,$1.00/Kg,"","","",,"","",Uncategorized,,1.0,1.0,Kg,1/1Kg,"","",100,"","",true,""
509127,Cream cheese,9.49,$3.16/lb,-80.23%,2024-04-03,US Foods Chefstore,,Smithfield,"",Food,,1.0,3.0,lb,1/3lb,"","",100,Milk,"",,""
507945,Cream of Tartar,1.0,$1.00/tbsp,"","","",,"","",Food,,1.0,1.0,tbsp,1/1tbsp,2.46 tbsp = 1 oz,"",100,"","",,""
539312,Creme Fraiche,1.0,$1.00/lb,"","",Chef's Warehouse,,vermont creamery,"",Food,,1.0,1.0,lb,1/1lb,"",Creme Fraiche (Pasteurized cultured cream),100,Milk,"",,""
590690,cucumber,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
509122,Dark brown sugar,3.69,$1.85/lb,84.5%,2024-04-03,US Foods Chefstore,,Domino,"",Food,,1.0,2.0,lb,1/2lb,"","",100,"","",,""
510543,Dark chocolate callets,1.0,$1.00/lb,"",2025-09-28,Chef's Warehouse,,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"",Chocolate Callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk),100,Soy,"",true,""
506723,Dark Chocolate Covered Espresso Beans,40.39,$17.56/Kg,3939%,2024-04-04,US Foods Chefstore,,Dilettante,"",Food,,1.0,2.3,Kg,1/2.3Kg,"","Dark Chocolate covered espresso beans (sugar, coffee liquor, cocoa butter, milk fat, vanilla, soy lecithin, espresso beans, confectionary glaze, gum arabic, natural flavors)",100,"Milk, Soy","",,""
509123,Dark cocoa powder,1.0,$1.00/lb,"",2025-09-28,Chef's Warehouse,,Valrhona,"",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
528842,Dates,23.85,$4.77/lb,377%,2024-10-09,Chef's Warehouse,VN150598,Capitol Food Company,"",Uncategorized,,1.0,5.0,lb,1/5lb,"","",100,"","",,""
509407,Dehydrated mini mallows,13.69,$13.69/lb,1269%,2024-04-03,Amazon,,Hoosier hills,"",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",,""
529222,Dried Apples,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",true,""
590688,Dried Pears,1.0,$1.00/g,"","",Chef's Warehouse,,"","",Food,,1.0,1.0,g,1/1g,"","",100,"","",false,""
509836,Earl Grey Tea,1.0,$1.00/oz,"",2025-09-28,Amazon,,Tazo,"",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
