cc_id,Title,allergens,Ingredients,yield_units,cost,cost_per_unit,yield_units,ingredient_list_str,Allergens_str,Categories_str,ID
230768,"Banana Peanut Butter Party Ice Cream","1207, 1204, 1206, 1208",,,,,,,,,661
284283,"Cherry Goat Cheese","1207, 1204",,,0.00,0.00,0.00,,,,693
231109,"Cream Cheese Frosting",1204,,,,,,,,,727
276624,"Jam Tart Icecream","4425, 1207, 1204",,,,,,,,,759
260420,"Orange Blossom Icecream","4425, 1204",,,,,,,,,793
230497,"Raspberry Swirl",,,,,,,,,,825
248644,"Sugar Baby Ice Cream","4425, 1207, 1204, 1208, 1205",,,0.00,0.00,0.00,,,,857
237270,"Vegan Blue Moon",4423,,,,,,,,,893
241293,"Wassail Sorbet (v)",,,,0.00,0.00,0.00,,,,925
286284,"Kristens Lunch Icecream","1207, 1204, 1206, 1208",,,0.00,0.00,0.00,,,,5494
291703,"V/GF Brookie Icecream","4423, 1208, 1205",,,0.00,0.00,0.00,,,,5527
230493,"Blueberry Jam",,,,,,,,,,672
275096,"Chocolate Mini egg Icecream","1204, 1208",,,,,,,,,705
229603,"Edible sugar cookie dough","1207, 1204",,,,,,,,,738
250490,"Lychee Sorbet",,,,,,,,,,770
241287,"Peppermint Bark","1204, 1208",,,,,,,,,804
231114,"Roasted Strawberries",,,,,,,,,,836
283628,"V/gf Blue Moon (Peafection)","4427, 1205",,,0.00,0.00,0.00,,,,869
276646,"Vegan Creamsicle Icecream",1205,,,0.00,0.00,0.00,,,,904
286368,"Blood Orange Sorbet",,,,0.00,0.00,0.00,,,,5473
286293,"Pear Hazelnut Icecream","1204, 1205",,,0.00,0.00,0.00,,,,5506
286624,"Vegan Pickle Icecream (PEA)","4427, 1205",,,,,,,,,5538
228827,"Vanilla Cardamom Molasses",,,,0.00,0.00,0.00,,,,890
275100,"Candy Cane Icecream",1204,,,,,,,,,683
275078,"Coffee Icecream (for cakes)","1204, 1208",,,,,,,,,717
242228,"Graham Cracker Pie Crust","1207, 1204, 1208",,,,,,,,,749
230843,"Mint Water",,,,,,,,,,783
275110,"Plumped Raisins",,,,,,,,,,815
230070,Shortbread,"1207, 1204",,,,,,,,,847
242604,"V/GF Gingersnap Crumbs",4423,,,,,,,,,881
275102,"Vegan Pumpkin Spice Icecream",1205,,,,,,,,,915
286366,"Heirloom Tomato Sorbet",,,,0.00,0.00,0.00,,,,5484
286371,"Sorbet De’ Normandie",,,,,,,,,,5517
229050,"Bananamon Ice Cream",1204,,,,,,,,,662
230431,"Cherry Icecream",1204,,,,,,,,,694
250495,"Creme Fraiche Ice Cream",1204,,,,,,,,,728
230494,"Lemon Curd","4425, 1204",,,,,,,,,760
275103,"Orange Cranberry Swirl Icecream",1204,,,,,,,,,794
275087,"Red Berry Sorbet",,,,0.00,0.00,0.00,,,,826
229599,"Sugar Cookies","4425, 1207, 1204",,,,,,,,,858
286372,"Vegan Blueberry Lavender Icecream","1208, 1205",,,0.00,0.00,0.00,,,,894
230435,"Wet Cinnamon Walnuts",1205,,,,,,,,,926
286639,"Lime Icecream",1204,,,,,,,,,5495
284905,"V/GF Coffee Caramel Brownie Icecream","4423, 1208, 1205",,,,,,,,,5528
242222,"Brown butter mixed nuts","1204, 1206, 1205",,,,,,,,,673
230257,"Chocolate Paste",1208,,,,,,,,,706
237265,"Eggnog Icecream","4425, 1204",,,,,,,,,739
229051,"Malted Coffee Toffee Ice Cream","1207, 1204, 1208, 1205",,,,,,,,,771
283945,"Peppermint Bark Icecream","1204, 1208",,,,,,,,,805
231119,"Roasted Sweet Potatoes",,,,,,,,,,837
283626,"V/gf Boysenberry Crumble icecream","4423, 1208, 1205",,,0.00,0.00,0.00,,,,871
275091,"Vegan Death by Chocolate coconut boogaloo","1208, 1205",,,,,,,,,905
286367,"Blueberry Sorbet",,,,0.00,0.00,0.00,,,,5474
286294,"Pickle Icecream",1204,,,0.00,0.00,0.00,,,,5507
286286,"Vegan Pumpkin Sage Maple Icecream",1205,,,0.00,0.00,0.00,,,,5539
230069,"6” chocolate chip cookie round","4425, 1207, 1204, 1208",,,,,,,,,652
284274,"Candy Crushing It Icecream","4422, 4428, 1204, 1206, 1208, 1205",,,,,,,,,684
230761,"Coffee Oreo IceCream","1207, 1204, 1208",,,,,,,,,718
230852,"Granny smith apples, chopped",,,,,,,,,,750
214992,"Miso Maple Icecream","1204, 1208",,,,,,,,,784
275112,"Pot o gold icecream","1207, 1204, 1208",,,,,,,,,816
