ID,Name,Yield Count,Yield Units,Yield Units Descriptor,Cost,Cost Per Unit,Categories,Allergens,Label Certifications,Ingredient List,Target Margin,Minimum Sell Price (calculated based on target margin),Sell Quantity,Sell Price,Sell Price Per Unit,Sell Margin,Food Cost Percentage
230069,6” chocolate chip cookie round,1.0,each,Batch,6.596,6.596,"","Eggs, Gluten, Milk, Soy","","chocolate chips-large (sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract), flour, light brown sugar, butter, large eggs, baking vanilla, salt, baking soda",,,1,,,,
242230,Apple Chaider,1.0,each,batch,4.134,4.134,"","","","cinnamon sticks, apple cider, chai tea (bagged)",,,1,,,,
287306,Apple Chaider Sorbet,2.0,each,tubs,2086.722,1043.361,Sorbet,"","","tree top applesauce (apples, water, vitamin c), water, white sugar, glucose powder, sea salt, ice bracer, apple cider, organic chai concentrate",,,1,,,,
284282,Apple Compote,1.0,g,"",0.557,0.557,"","","","white sugar, light brown sugar, cinnamon (powdered)",,,1,,,,
283958,Avocado Kalamansi Sorbet,1.5,each,tubs,17.597,11.731,Sorbet,"","","avocado, water, white sugar, kalamansi puree, glucose powder, ice bracer",,,1,,,,
230256,Baked Chocolate Donuts,1.0,each,servings,2.291,2.291,"","Eggs, Gluten, Milk, Soy","","light brown sugar, flour, buttermilk, large eggs, butter, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, baking soda, salt",,,1,,,,
230223,Banana Cake,2300.0,g,"",9.785,0.00425,"","Eggs, Gluten, Milk","","flour, bananas, sourcream, white sugar, large eggs, butter, baking soda, salt, baking powder, vanilla bean paste",,,1,,,,
275085,Banana Fluffernutter Icecream,2.75,each,Tubs,75.746,27.544,Dairy Ice Cream,"Corn, Eggs, Milk, Peanuts, Soy","","bananas, peanut butter sauce, jett puff creme (corn syrup, sugar, water, dried egg whites, cream of tartar, xanthan gum, artificial and natural flavor), peanut brittle (honey roasted peanuts, white sugar, light corn syrup, butter, water, baking soda, sea salt), banana flavor, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
276625,Banana Nut Muffin Icecream,2.0,each,Tubs,70.606,35.303,Dairy Ice Cream,"Eggs, Gluten, Milk, Tree nuts","","banana cake (flour, bananas, sourcream, white sugar, large eggs, butter, baking soda, salt, baking powder, vanilla bean paste), bananas, roasted maple walnuts (walnuts, maple syrup, salt), white sugar, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230768,Banana Peanut Butter Party Ice Cream,3.0,each,Tubs,68.93,22.977,Dairy Ice Cream,"Gluten, Milk, Peanuts, Soy, Wheat","","bananas, nutter butter, peanut butter cups, mini, peanut butter chips, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
229050,Bananamon Ice Cream,2.2,each,tubs,1085.169,493.259,Dairy Ice Cream,Milk,"","roasted bananas (bananas, light brown sugar, butter), madagascar vanilla 2x (bourbon vanilla), banana flavor, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), cinnamon flavor",,,1,,,,
284264,Basil Icecream,1.5,each,tubs,41.396,27.597,Dairy Ice Cream,Milk,"","basil, madagascar vanilla 2x (bourbon vanilla), sweet basil flavor, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum), cinnamon flavor",,,1,,,,
243828,Birthday Cake Ice Cream,1.5,each,tubs,6345.159,4230.106,Dairy Ice Cream,"Eggs, Gluten, Milk","","vanilla cake (white sugar, flour, milk, whole, large eggs, sourcream, baking vanilla, baking powder, salt, canola oil), buttercream frosting (powdered sugar, butter, light corn syrup, buttermilk, mexican vanilla 2x, salt), rainbow sprinkles, gmf cake batter flavor, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
229085,Black Currant Ice Cream,1.0,each,tubs,102.826,102.826,Dairy Ice Cream,Milk,"","black currant puree, white sugar, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
229087,Black Currant Sorbet,1.0,each,tubs,99.69,99.69,Sorbet,"","","black currant puree, water, white sugar, glucose, ice bracer, mexican vanilla 2x, rose water",,,1,,,,
250559,Black Forest Cheesecake Icecream,2.5,each,tubs,29551.074,11820.43,Dairy Ice Cream,"Eggs, Gluten, Milk, Soy","","chocolate cake (white sugar, flour, buttermilk, water, large eggs, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, baking powder, salt, baking soda, espresso powder, canola oil), cheesecake (cream cheese, white sugar, large eggs, milk, whole, sourcream, cornstarch, baking vanilla, salt), chocolate paste (water, white sugar, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.')), amarena cherries, mexican vanilla 2x, cherry flavor gmf, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
284265,Blackberry Flake Icecream,2.5,each,tubs,356.101,142.44,Dairy Ice Cream,"Milk, Soy","","blackberry puree, chocolate flake (chocolate callets (unsweetened chocolate; sugar; cocoa butter; lecithin (soy); natural vanilla flavor; milk), canola oil), white sugar, madagascar vanilla 2x (bourbon vanilla), 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230770,Blackberry Swirl,1.0,g,"",15.152,15.152,"","","","blackberry puree, white sugar, fruit bracer, blackberry flavor, citric acid solution (citric acid powder, water)",,,1,,,,
286368,Blood Orange Sorbet,1.5,each,tubs,78.539,52.36,Sorbet,"","","blood orange puree, water, white sugar, glucose powder, ice bracer, madagascar vanilla 2x (bourbon vanilla), orange oil",,,1,,,,
215077,Blood Peach Sorbet,1.0,each,Tub,72.436,72.436,"","","","water, blood peach puree, white sugar, glucose powder, ice bracer, tahitian vanilla, citric acid powder",,,1,,,,
284268,Blueberry Cheesecake Icecream,1.75,each,tubs,19233.818,10990.753,Dairy Ice Cream,"Eggs, Gluten, Milk, Soy","","cheesecake (cream cheese, white sugar, large eggs, milk, whole, sourcream, cornstarch, baking vanilla, salt), blueberries, frozen, white sugar, graham cracker, 16% meadowvale dairy base-(cream, milk, cane sugar, skim milk, nonfat milk, guar gum, locust bean gum)",,,1,,,,
230493,Blueberry Jam,1.0,each,servings,16.665,16.665,"","","","blueberries, frozen, white sugar, cinnamon (powdered)",,,1,,,,
286367,Blueberry Sorbet,1.5,each,tubs,3010.051,2006.701,Sorbet,"","","water, blueberry puree, white sugar, glucose powder, ice bracer, citric acid powder, madagascar vanilla 2x (bourbon vanilla)",,,1,,,,
242222,Brown butter mixed nuts,1.0,each,servings,3.958,3.958,"","Milk, Peanuts, Tree nuts","","mixed nuts, butter, light brown sugar",,,1,,,,
231105,Brownie Ice-cream Sammie,2.0,each,9x13 pans,10.842,5.421,"","Eggs, Gluten, Milk, Soy","","white sugar, butter, large eggs, light brown sugar, flour, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, salt, baking soda, canola oil",,,1,,,,
229604,Brownies,1870.0,g,Grams/Chopped ,14.419,0.00771,"","Eggs, Gluten, Milk, Soy","","white sugar, butter, large eggs, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), flour, baking vanilla, sea salt",,,1,,,,
248519,Brownies (Sally’s Recipe),1250.0,g,"",8.53,0.00682,"","Eggs, Milk, Soy","","white sugar, chocolate chips-large (sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract), large eggs, butter, cocoa powder ('sugar, cocoa- processed with alkali, unsweetened chocolate, soy lecithin- an emulsifier, vanilla.'), baking vanilla, salt",,,1,,,,
242295,Buckeyes,1.0,g,"",10.9,10.9,"","Milk, Peanuts, Soy, Tree nuts","","chocolate chips-large (sugar, unsweetened chocolate, cocoa butter, whole milk powder, soy
lecithin, vanilla extract), peanut butter, powdered sugar, sea salt, coconut oil",,,1,,,,
