flavor_id	flavor_name	proposed_recipe_id	proposed_recipe_name	match_source	confidence	recipe_class	status	notes
6326	Raspberry White Chocolate	688	Caramelized White Chocolate	name-keyword	1	unknown	NEEDS-GUS-CALL	
6315	Vanilla (pea)	887	Vanilla #3	name-exact	4	icecream	AMBIGUOUS	alts=Vegan Vanilla Bean icecream#922(s=0.95); vegan-base(pea) but recipe not flagged vegan
5997	Banana Caramel Chip (v)	843	Salted Caramel Swirl (V) Ice Cream	name-keyword	1	icecream	AMBIGUOUS	alts=Vegan Caramel (housemade)#5531(s=0.63)
5967	Just Peachy Sorbet (v)	670	Blood Peach Sorbet	name-keyword	1	sorbet	AMBIGUOUS	alts=Roasted Peaches#834(s=0.53)
5963	Smoked S'mores	916	Vegan S’mores Icecream	name-fuzzy	3	icecream	LIKELY-MATCH	
5903	The Wise Turtle	5514	Raspberry Rose Truffle Icecream	name-keyword	1	icecream	AMBIGUOUS	alts=The Chaperone Icecream#5524(s=0.43)|V/GF Swiss Roll (for christmas)#5529(s=0.40)|Swiss Roll (yule log)#5522(s=0.40)
5853	Raspberry Blondie (pea)	885	V/GF Raspberry Blondie Icerceam	name-exact	3	icecream	LIKELY-MATCH	exact-after-normalization
5687	Raspberry Lime Rickey Sorbet	824	Raspberry Lime Rickey	name-exact	4	sorbet	CLEAR-MATCH	
5636	Cookie Buttah	720	Cookie buttah Icecream	name-exact	4	icecream	CLEAR-MATCH	
5623	Yellow Pluot (sorbet)	5547	Yellow Pluot Sorbet	name-exact	4	sorbet	CLEAR-MATCH	
5622	Watermelon (sorbet)	5546	Watermelon Sorbet	name-exact	4	sorbet	AMBIGUOUS	alts=Watermelon Mint Sorbet#5545(s=0.95)
5621	Watermelon Mint (sorbet)	5545	Watermelon Mint Sorbet	name-exact	4	sorbet	AMBIGUOUS	alts=Watermelon Sorbet#5546(s=0.95)
5620	Super Sorbet	5520	Super Sorbet	name-exact	4	sorbet	CLEAR-MATCH	
5619	Sorbet De' Normandie	5517	Sorbet De' Normandie	name-exact	4	sorbet	CLEAR-MATCH	
