rcc_id	name	rcc_price	rcc_unit	tier	density_source	target_unit	confidence	status	notes
591304	4-1 strawberries	1.0000	g	5		g	T5	PLACEHOLDER-SUSPECTED	$1.00000/g | source: supplier row: 1 g @ $1.00 = $1.00/g [US Foods Chefstore] | PLACEHOLDER-SUSPECTED: RCC entry is "1 g @ $1.00" — this is the common stub pattern and likely not real cost data.
509409	All spice	1.2800	oz	4		g	T4	OK	$0.04515/g | source: supplier row: 16 oz @ $20.47 = $1.28/oz [US Foods Chefstore]
507952	Almond Extract	2.5000	floz	3	Volume unit; assumed extract/flavor density 0.88 g/ml (1 floz = 26.02 g). Pattern: vanilla.*extract|extract|\bflavor\b.	g	T3	OK	$0.09606/g | source: supplier row: 2 floz @ $4.99 = $2.50/floz [QFC]
508242	Amarena Cherries	52.0600	Kg	4		g	T4	OK	$0.05206/g | source: supplier row: 1.85 Kg @ $96.32 = $52.06/Kg [Webstaurant]
531505	Andes mints, pieces	6.3000	lb	4		g	T4	OK	$0.01389/g | source: supplier row: 5 lb @ $31.49 = $6.30/lb [Webstaurant]
509741	Anise Extract	0.0600	oz	4		g	T4	OK	$0.00212/g | source: supplier row: 16 oz @ $1.00 = $0.06/oz [Green Mountain Flavors]
509743	Annatto Extract	0.0600	oz	4		g	T4	OK	$0.00212/g | source: supplier row: 16 oz @ $1.00 = $0.06/oz [Green Mountain Flavors]
527496	Apple cider	0.0500	floz	3	Volume unit; assumed juice density 1.04 g/ml (1 floz = 30.76 g). Pattern: juice|lemonade|cider(?!.*vinegar).	g	T3	OK	$0.00163/g | source: supplier row: 89 floz @ $4.59 = $0.05/floz [US Foods Chefstore]
528843	Apple Cider Vinegar	1.0000	gal	3	Volume unit; assumed vinegar density 1.01 g/ml (1 gal = 3823.26 g). Pattern: vinegar.	g	T3	PLACEHOLDER-SUSPECTED	$0.00026/g | source: supplier row: 1 gal @ $1.00 = $1.00/gal [US Foods Chefstore] | PLACEHOLDER-SUSPECTED: RCC entry is "1 gal @ $1.00" — this is the common stub pattern and likely not real cost data.
587241	Apple Puree	0.0000	Kg	0		g	T0	ZERO-PRICE	source: supplier row: 1000 Kg @ $1.00 = $0.00/Kg [Chef's Warehouse]
593309	applesauce	1.0000	g	5		g	T5	PLACEHOLDER-SUSPECTED	$1.00000/g | source: supplier row: 1 g @ $1.00 = $1.00/g [Amazon] | PLACEHOLDER-SUSPECTED: RCC entry is "1 g @ $1.00" — this is the common stub pattern and likely not real cost data.
509740	Apricot Jam	5.0200	lb	4		g	T4	OK	$0.01107/g | source: supplier row: 5.5 lb @ $27.61 = $5.02/lb [Chef's Warehouse]
539311	Avocado	1.0000	lb	4		g	T4	PLACEHOLDER-SUSPECTED	$0.00220/g | source: supplier row: 1 lb @ $1.00 = $1.00/lb [US Foods Chefstore] | PLACEHOLDER-SUSPECTED: RCC entry is "1 lb @ $1.00" — this is the common stub pattern and likely not real cost data.
507947	Baking powder	0.0200	oz	4		g	T4	OK	$0.00071/g | source: supplier row: 60 oz @ $1.00 = $0.02/oz [US Foods Chefstore]
507941	Baking soda	1.1500	lb	4		g	T4	OK	$0.00254/g | source: supplier row: 4 lb @ $4.59 = $1.15/lb [US Foods Chefstore]
507939	Baking Vanilla	1.5600	floz	4	RCC-provided converter: 1 tsp 4.2 g. Derived density 0.8521 g/ml; 1 floz = 25.20 g.	g	T4	OK	$0.06191/g | source: supplier row: 32 floz @ $49.99 = $1.56/floz [Amazon]
536648	Balsamic Vinegar	1.0000	floz	3	Volume unit; assumed vinegar density 1.01 g/ml (1 floz = 29.87 g). Pattern: vinegar.	g	T3	PLACEHOLDER-SUSPECTED	$0.03348/g | source: supplier row: 1 floz @ $1.00 = $1.00/floz [Webstaurant] | PLACEHOLDER-SUSPECTED: RCC entry is "1 floz @ $1.00" — this is the common stub pattern and likely not real cost data.
534915	Banana Flavor	16.0000	qt	4	RCC-provided converter: 1 gal 8.77 lb. Derived density 1.0509 g/ml; 1 qt = 994.50 g.	g	T4	OK	$0.01609/g | source: supplier row: 1 qt @ $16.00 = $16.00/qt [Green Mountain Flavors]
506910	Bananas	1.9900	lb	4		g	T4	OK	$0.00439/g | source: supplier row: 5 lb @ $9.95 = $1.99/lb [US Foods Chefstore]
587212	Basil	1.0000	lb	4		g	T4	PLACEHOLDER-SUSPECTED	$0.00220/g | source: inline Details: 1 lb @ $1.00 | PLACEHOLDER-SUSPECTED: RCC entry is "1 lb @ $1.00" — this is the common stub pattern and likely not real cost data.
506945	Beet Powder	4.0000	oz	4		g	T4	OK	$0.14110/g | source: supplier row: 5 oz @ $19.99 = $4.00/oz [Amazon]
593308	Bergamot GMF	1.0000	oz	4		g	T4	PLACEHOLDER-SUSPECTED	$0.03527/g | source: supplier row: 1 oz @ $1.00 = $1.00/oz [Green Mountain Flavors] | PLACEHOLDER-SUSPECTED: RCC entry is "1 oz @ $1.00" — this is the common stub pattern and likely not real cost data.
509695	Bettercreme	6.7200	Kg	4		g	T4	OK	$0.00672/g | source: supplier row: 4 Kg @ $26.89 = $6.72/Kg [US Foods Chefstore]
527488	Biscoff cookie butter	0.3900	oz	4		g	T4	OK	$0.01376/g | source: supplier row: 8/14.1 oz @ $43.43 = $0.39/oz [Amazon]
553131	Biscoff Cookies	1.0000	g	5		g	T5	PLACEHOLDER-SUSPECTED	$1.00000/g | source: inline Details: 1 g @ $1.00 | PLACEHOLDER-SUSPECTED: RCC entry is "1 g @ $1.00" — this is the common stub pattern and likely not real cost data.
594064	Black Beans	1.0000	g	5		g	T5	PLACEHOLDER-SUSPECTED	$1.00000/g | source: supplier row: 1 g @ $1.00 = $1.00/g [US Foods Chefstore] | PLACEHOLDER-SUSPECTED: RCC entry is "1 g @ $1.00" — this is the common stub pattern and likely not real cost data.
506936	Black Currant Puree	30.0000	Kg	4		g	T4	OK	$0.03000/g | source: supplier row: 6/1 Kg @ $179.98 = $30.00/Kg [Chef's Warehouse]
563994	Blackberries, Frozen	3.9200	lb	4		g	T4	OK	$0.00864/g | source: supplier row: 5 lb @ $19.59 = $3.92/lb [US Foods Chefstore]
590835	blackberry Barbeque sauce	0.0667	oz	4		g	T4	OK	pack: 15 oz | $0.00235/g | source: inline Details: 15 oz @ $1.00
510528	Blackberry flavor	1.0000	oz	4		g	T4	PLACEHOLDER-SUSPECTED	$0.03527/g | source: inline Details: 1 oz @ $1.00 | PLACEHOLDER-SUSPECTED: RCC entry is "1 oz @ $1.00" — this is the common stub pattern and likely not real cost data.
