name	rcc_id	dollars_per_gram	confidence_0_to_5	placeholder_flag	ambiguous_sub_or_compound	q4_override_affected	is_empty_stub	downstream_cascade_count	notes
Brownies	229604	0.005567	4	N	N	N	N	0	Clean RCC; 7 of 7 components resolved
Cashew brittle	239649	0.006497	4	N	N	Y	N	0	Q4-override: Water; 7 of 7 components resolved
Chocolate Paste	230257	0.003091	4	N	N	Y	N	0	Q4-override: Water; 14 parent refs; 3 of 3 components resolved
Cinnamon Crisp	243768	0.002852	4	N	N	N	N	0	7 of 7 components resolved
Citric acid solution	231104	0.005280	4	N	N	Y	N	0	Q4-override: Water; 2 of 2 components resolved
Cream Cheese Frosting	231109	0.006260	4	N	N	N	N	0	6 of 6 components resolved
Edible chocolate chip dough	230064	0.007175	4	N	N	N	N	0	6 of 6 components resolved
Mixed Berry Compote (for ic for bfast)	284960	0.007197	4	N	N	N	N	0	6 of 6 components resolved
Roasted Bananas	287734	0.004169	4	N	N	N	N	0	3 of 3 components resolved
Roasted Strawberries	231114	0.005540	4	N	N	N	N	0	2 of 2 components resolved
Strawberry Sorbet	228848	0.007914	4	N	N	Y	N	0	Q4-override: Water; 7 of 7 components resolved
Vegan Maple HoneyComb Candy	242605	0.005545	4	N	N	Y	N	0	Q4-override: Water; 5 of 5 components resolved
Wet Cinnamon Walnuts	230435	0.005975	4	N	N	Y	N	0	Q4-override: Water; 6 of 6 components resolved
White choco covered pretzels	239644	0.020542	4	N	N	N	N	0	2 of 2 components resolved
Cherry Icecream	230431	0.007399	3	N	N	N	N	0	Density/food-science derivation; 5 of 5 components resolved
Coffee Syrup	230516	0.003165	3	N	N	Y	N	0	Q4-override: Water; density estimate applied; 3 of 3 components resolved
Mango Icecream	286636	0.006638	3	N	N	N	N	0	Density/food-science derivation; 4 of 4 components resolved
Milk Chocolate Icecream	230432	0.004362	3	N	Y	N	N	0	AMBIGUOUS-SUB/COMPOUND: contains Chocolate Paste (230257)
Pistachio Rose Bark	240201	0.034673	3	N	N	N	N	0	Density/food-science derivation; 4 of 4 components resolved
Plain Pistachio Icecream	230433	0.006126	3	N	N	N	N	0	Density/food-science derivation; 4 of 4 components resolved
Plain Strawberry Icecream	286638	0.006850	3	N	N	N	N	0	Density/food-science derivation; 5 of 5 components resolved
V/GF Chocolate Chip Cookies	242292	0.004632	3	N	N	Y	N	0	Q4-override: Water; density estimate; 10 of 10 components resolved
Vegan Chocolate Icecream	236494	0.006416	3	N	N	N	N	0	Density/food-science derivation; 6 of 6 components resolved
Vegan Strawberry Ice Cream	237269	0.007574	3	N	N	N	N	0	Density/food-science derivation; 4 of 4 components resolved
